Feature,Importance
home_away_goals_diff,129098.79573434591
head_to_head_win_rate,91316.2831889391
head_to_head_loss_rate,90077.53791493177
head_to_head_draw_rate,74152.35667741299
recent_away_wins,59908.09046661854
recent_home_wins,48550.6087436676
recent_home_goal_diff,17835.98203587532
home_away_win_rate_diff,16746.980048656464
recent_away_goal_diff,16672.608715176582
home_win_rate,4946.631889820099
