date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
1872-11-30,Friendly,Scotland,England,0,0,Draw,Friendly/Invitationals
1873-03-08,Friendly,England,Scotland,4,2,England,Friendly/Invitationals
1874-03-07,Friendly,Scotland,England,2,1,Scotland,Friendly/Invitationals
1875-03-06,Friendly,England,Scotland,2,2,Draw,Friendly/Invitationals
1876-03-04,Friendly,Scotland,England,3,0,Scotland,Friendly/Invitationals
1876-03-25,Friendly,Scotland,Wales,4,0,Scotland,Friendly/Invitationals
1877-03-03,Friendly,England,Scotland,1,3,Scotland,Friendly/Invitationals
1877-03-05,Friendly,Wales,Scotland,0,2,Scotland,Friendly/Invitationals
1878-03-02,Friendly,Scotland,England,7,2,Scotland,Friendly/Invitationals
1878-03-23,Friendly,Scotland,Wales,9,0,Scotland,Friendly/Invitationals
1879-01-18,Friendly,England,Wales,2,1,England,Friendly/Invitationals
1879-04-05,Friendly,England,Scotland,5,4,England,Friendly/Invitationals
1879-04-07,Friendly,Wales,Scotland,0,3,Scotland,Friendly/Invitationals
1880-03-13,Friendly,Scotland,England,5,4,Scotland,Friendly/Invitationals
1880-03-15,Friendly,Wales,England,2,3,England,Friendly/Invitationals
1880-03-27,Friendly,Scotland,Wales,5,1,Scotland,Friendly/Invitationals
1881-02-26,Friendly,England,Wales,0,1,Wales,Friendly/Invitationals
1881-03-12,Friendly,England,Scotland,1,6,Scotland,Friendly/Invitationals
1881-03-14,Friendly,Wales,Scotland,1,5,Scotland,Friendly/Invitationals
1882-02-18,Friendly,Northern Ireland,England,0,13,England,Friendly/Invitationals
1882-02-25,Friendly,Wales,Northern Ireland,7,1,Wales,Friendly/Invitationals
1882-03-11,Friendly,Scotland,England,5,1,Scotland,Friendly/Invitationals
1882-03-13,Friendly,Wales,England,5,3,Wales,Friendly/Invitationals
1882-03-25,Friendly,Scotland,Wales,5,0,Scotland,Friendly/Invitationals
1883-02-03,Friendly,England,Wales,5,0,England,Friendly/Invitationals
1883-02-24,Friendly,England,Northern Ireland,7,0,England,Friendly/Invitationals
1883-03-10,Friendly,England,Scotland,2,3,Scotland,Friendly/Invitationals
1883-03-12,Friendly,Wales,Scotland,0,3,Scotland,Friendly/Invitationals
1883-03-17,Friendly,Northern Ireland,Wales,1,1,Draw,Friendly/Invitationals
1884-01-26,British Home Championship,Northern Ireland,Scotland,0,5,Scotland,Other Tournaments
1884-02-09,British Home Championship,Wales,Northern Ireland,6,0,Wales,Other Tournaments
1884-02-23,British Home Championship,Northern Ireland,England,1,8,England,Other Tournaments
1884-03-15,British Home Championship,Scotland,England,1,0,Scotland,Other Tournaments
1884-03-17,British Home Championship,Wales,England,0,4,England,Other Tournaments
1884-03-29,British Home Championship,Scotland,Wales,4,1,Scotland,Other Tournaments
1885-02-28,British Home Championship,England,Northern Ireland,4,0,England,Other Tournaments
1885-03-14,British Home Championship,England,Wales,1,1,Draw,Other Tournaments
1885-03-14,British Home Championship,Scotland,Northern Ireland,8,2,Scotland,Other Tournaments
1885-03-21,British Home Championship,England,Scotland,1,1,Draw,Other Tournaments
1885-03-23,British Home Championship,Wales,Scotland,1,8,Scotland,Other Tournaments
1885-04-11,British Home Championship,Northern Ireland,Wales,2,8,Wales,Other Tournaments
1885-11-28,Friendly,United States,Canada,0,1,Canada,Friendly/Invitationals
1886-02-27,British Home Championship,Wales,Northern Ireland,5,0,Wales,Other Tournaments
1886-03-13,British Home Championship,Northern Ireland,England,1,6,England,Other Tournaments
1886-03-20,British Home Championship,Northern Ireland,Scotland,2,7,Scotland,Other Tournaments
1886-03-27,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1886-03-29,British Home Championship,Wales,England,1,3,England,Other Tournaments
1886-04-10,British Home Championship,Scotland,Wales,4,1,Scotland,Other Tournaments
1886-11-25,Friendly,United States,Canada,3,2,United States,Friendly/Invitationals
1887-02-05,British Home Championship,England,Northern Ireland,7,0,England,Other Tournaments
1887-02-19,British Home Championship,Scotland,Northern Ireland,4,1,Scotland,Other Tournaments
1887-02-26,British Home Championship,England,Wales,4,0,England,Other Tournaments
1887-03-12,British Home Championship,Northern Ireland,Wales,4,1,Northern Ireland,Other Tournaments
1887-03-19,British Home Championship,England,Scotland,2,3,Scotland,Other Tournaments
1887-03-21,British Home Championship,Wales,Scotland,0,2,Scotland,Other Tournaments
1888-02-04,British Home Championship,England,Wales,5,1,England,Other Tournaments
1888-03-03,British Home Championship,Wales,Northern Ireland,11,0,Wales,Other Tournaments
1888-03-10,British Home Championship,Scotland,Wales,5,1,Scotland,Other Tournaments
1888-03-17,British Home Championship,Scotland,England,0,5,England,Other Tournaments
1888-03-24,British Home Championship,Northern Ireland,Scotland,2,10,Scotland,Other Tournaments
1888-04-07,British Home Championship,Northern Ireland,England,1,5,England,Other Tournaments
1888-09-19,Friendly,Scotland,Canada,4,0,Scotland,Friendly/Invitationals
1889-02-23,British Home Championship,England,Wales,4,1,England,Other Tournaments
1889-03-02,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1889-03-09,British Home Championship,Scotland,Northern Ireland,7,0,Scotland,Other Tournaments
1889-04-13,British Home Championship,England,Scotland,2,3,Scotland,Other Tournaments
1889-04-15,British Home Championship,Wales,Scotland,0,0,Draw,Other Tournaments
1889-04-27,British Home Championship,Northern Ireland,Wales,1,3,Wales,Other Tournaments
1890-02-08,British Home Championship,Wales,Northern Ireland,5,2,Wales,Other Tournaments
1890-03-15,British Home Championship,Northern Ireland,England,1,9,England,Other Tournaments
1890-03-15,British Home Championship,Wales,England,1,3,England,Other Tournaments
1890-03-22,British Home Championship,Scotland,Wales,5,0,Scotland,Other Tournaments
1890-03-29,British Home Championship,Northern Ireland,Scotland,1,4,Scotland,Other Tournaments
1890-04-05,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1891-02-07,British Home Championship,Northern Ireland,Wales,7,2,Northern Ireland,Other Tournaments
1891-03-07,British Home Championship,England,Wales,4,1,England,Other Tournaments
1891-03-07,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1891-03-21,British Home Championship,Wales,Scotland,3,4,Scotland,Other Tournaments
1891-03-28,British Home Championship,Scotland,Northern Ireland,2,1,Scotland,Other Tournaments
1891-04-04,British Home Championship,England,Scotland,2,1,England,Other Tournaments
1892-02-27,British Home Championship,Wales,Northern Ireland,1,1,Draw,Other Tournaments
1892-03-05,British Home Championship,Northern Ireland,England,0,2,England,Other Tournaments
1892-03-05,British Home Championship,Wales,England,0,2,England,Other Tournaments
1892-03-19,British Home Championship,Northern Ireland,Scotland,2,3,Scotland,Other Tournaments
1892-03-26,British Home Championship,Scotland,Wales,6,1,Scotland,Other Tournaments
1892-04-02,British Home Championship,Scotland,England,1,4,England,Other Tournaments
1893-02-25,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1893-03-13,British Home Championship,England,Wales,6,0,England,Other Tournaments
1893-03-18,British Home Championship,Wales,Scotland,0,8,Scotland,Other Tournaments
1893-03-25,British Home Championship,Scotland,Northern Ireland,6,1,Scotland,Other Tournaments
1893-04-01,British Home Championship,England,Scotland,5,2,England,Other Tournaments
1894-02-24,British Home Championship,Wales,Northern Ireland,4,1,Wales,Other Tournaments
1894-03-03,British Home Championship,Northern Ireland,England,2,2,Draw,Other Tournaments
1894-03-12,British Home Championship,Wales,England,1,5,England,Other Tournaments
1894-03-24,British Home Championship,Scotland,Wales,5,2,Scotland,Other Tournaments
1894-03-31,British Home Championship,Northern Ireland,Scotland,1,2,Scotland,Other Tournaments
1894-04-07,British Home Championship,Scotland,England,2,2,Draw,Other Tournaments
1895-03-09,British Home Championship,England,Northern Ireland,9,0,England,Other Tournaments
1895-03-16,British Home Championship,Northern Ireland,Wales,2,2,Draw,Other Tournaments
1895-03-18,British Home Championship,England,Wales,1,1,Draw,Other Tournaments
1895-03-23,British Home Championship,Wales,Scotland,2,2,Draw,Other Tournaments
1895-03-30,British Home Championship,Scotland,Northern Ireland,3,1,Scotland,Other Tournaments
1895-04-06,British Home Championship,England,Scotland,3,0,England,Other Tournaments
1896-02-29,British Home Championship,Wales,Northern Ireland,6,1,Wales,Other Tournaments
1896-03-07,British Home Championship,Northern Ireland,England,0,2,England,Other Tournaments
1896-03-16,British Home Championship,Wales,England,1,9,England,Other Tournaments
1896-03-21,British Home Championship,Scotland,Wales,4,0,Scotland,Other Tournaments
1896-03-28,British Home Championship,Northern Ireland,Scotland,3,3,Draw,Other Tournaments
1896-04-04,British Home Championship,Scotland,England,2,1,Scotland,Other Tournaments
1897-02-20,British Home Championship,England,Northern Ireland,6,0,England,Other Tournaments
1897-03-06,British Home Championship,Northern Ireland,Wales,4,3,Northern Ireland,Other Tournaments
1897-03-20,British Home Championship,Wales,Scotland,2,2,Draw,Other Tournaments
1897-03-27,British Home Championship,Scotland,Northern Ireland,5,1,Scotland,Other Tournaments
1897-03-29,British Home Championship,England,Wales,4,0,England,Other Tournaments
1897-04-03,British Home Championship,England,Scotland,1,2,Scotland,Other Tournaments
1898-02-19,British Home Championship,Wales,Northern Ireland,0,1,Northern Ireland,Other Tournaments
1898-03-05,British Home Championship,Northern Ireland,England,2,3,England,Other Tournaments
1898-03-19,British Home Championship,Scotland,Wales,5,2,Scotland,Other Tournaments
1898-03-26,British Home Championship,Northern Ireland,Scotland,0,3,Scotland,Other Tournaments
1898-03-28,British Home Championship,Wales,England,0,3,England,Other Tournaments
1898-04-02,British Home Championship,Scotland,England,1,3,England,Other Tournaments
1899-02-18,British Home Championship,England,Northern Ireland,13,2,England,Other Tournaments
1899-03-04,British Home Championship,Northern Ireland,Wales,1,0,Northern Ireland,Other Tournaments
1899-03-18,British Home Championship,Wales,Scotland,0,6,Scotland,Other Tournaments
1899-03-20,British Home Championship,England,Wales,4,0,England,Other Tournaments
1899-03-25,British Home Championship,Scotland,Northern Ireland,9,1,Scotland,Other Tournaments
1899-04-08,British Home Championship,England,Scotland,2,1,England,Other Tournaments
1900-02-03,British Home Championship,Scotland,Wales,5,2,Scotland,Other Tournaments
1900-02-24,British Home Championship,Wales,Northern Ireland,2,0,Wales,Other Tournaments
1900-03-03,British Home Championship,Northern Ireland,Scotland,0,3,Scotland,Other Tournaments
1900-03-17,British Home Championship,Northern Ireland,England,0,2,England,Other Tournaments
1900-03-26,British Home Championship,Wales,England,1,1,Draw,Other Tournaments
1900-04-07,British Home Championship,Scotland,England,4,1,Scotland,Other Tournaments
1901-02-23,British Home Championship,Scotland,Northern Ireland,11,0,Scotland,Other Tournaments
1901-03-02,British Home Championship,Wales,Scotland,1,1,Draw,Other Tournaments
1901-03-09,British Home Championship,England,Northern Ireland,3,0,England,Other Tournaments
1901-03-18,British Home Championship,England,Wales,6,0,England,Other Tournaments
1901-03-23,British Home Championship,Northern Ireland,Wales,0,1,Wales,Other Tournaments
1901-03-30,British Home Championship,England,Scotland,2,2,Draw,Other Tournaments
1902-02-22,British Home Championship,Wales,Northern Ireland,0,3,Northern Ireland,Other Tournaments
1902-03-01,British Home Championship,Northern Ireland,Scotland,1,5,Scotland,Other Tournaments
1902-03-03,British Home Championship,Wales,England,0,0,Draw,Other Tournaments
1902-03-15,British Home Championship,Scotland,Wales,5,1,Scotland,Other Tournaments
1902-03-22,British Home Championship,Northern Ireland,England,0,1,England,Other Tournaments
1902-05-03,British Home Championship,England,Scotland,2,2,Draw,Other Tournaments
1902-07-20,Friendly,Uruguay,Argentina,0,6,Argentina,Friendly/Invitationals
1902-10-12,Friendly,Austria,Hungary,5,0,Austria,Friendly/Invitationals
1903-02-14,British Home Championship,England,Northern Ireland,4,0,England,Other Tournaments
1903-03-02,British Home Championship,England,Wales,2,1,England,Other Tournaments
1903-03-09,British Home Championship,Wales,Scotland,0,1,Scotland,Other Tournaments
1903-03-21,British Home Championship,Scotland,Northern Ireland,0,2,Northern Ireland,Other Tournaments
1903-03-28,British Home Championship,Northern Ireland,Wales,2,0,Northern Ireland,Other Tournaments
1903-04-04,British Home Championship,England,Scotland,1,2,Scotland,Other Tournaments
1903-04-05,Friendly,Hungary,Czechoslovakia,2,1,Hungary,Friendly/Invitationals
1903-06-11,Friendly,Hungary,Austria,3,2,Hungary,Friendly/Invitationals
1903-09-13,Friendly,Argentina,Uruguay,2,3,Uruguay,Friendly/Invitationals
1903-10-11,Friendly,Austria,Hungary,4,2,Austria,Friendly/Invitationals
1904-02-29,British Home Championship,Wales,England,2,2,Draw,Other Tournaments
1904-03-12,British Home Championship,Northern Ireland,England,1,3,England,Other Tournaments
1904-03-12,British Home Championship,Scotland,Wales,1,1,Draw,Other Tournaments
1904-03-21,British Home Championship,Wales,Northern Ireland,0,1,Northern Ireland,Other Tournaments
1904-03-26,British Home Championship,Northern Ireland,Scotland,1,1,Draw,Other Tournaments
1904-04-09,British Home Championship,Scotland,England,0,1,England,Other Tournaments
1904-05-01,Évence Coppée Trophy,Belgium,France,3,3,Draw,Other Tournaments
1904-06-02,Friendly,Hungary,Austria,3,0,Hungary,Friendly/Invitationals
1904-10-09,Friendly,Austria,Hungary,5,4,Austria,Friendly/Invitationals
1905-02-12,Friendly,France,Switzerland,1,0,France,Friendly/Invitationals
1905-02-25,British Home Championship,England,Northern Ireland,1,1,Draw,Other Tournaments
1905-03-06,British Home Championship,Wales,Scotland,3,1,Wales,Other Tournaments
1905-03-18,British Home Championship,Scotland,Northern Ireland,4,0,Scotland,Other Tournaments
1905-03-27,British Home Championship,England,Wales,3,1,England,Other Tournaments
1905-04-01,British Home Championship,England,Scotland,1,0,England,Other Tournaments
1905-04-08,British Home Championship,Northern Ireland,Wales,2,2,Draw,Other Tournaments
1905-04-09,Friendly,Hungary,Austria,0,0,Draw,Friendly/Invitationals
1905-04-17,Muratti Vase,Guernsey,Alderney,6,0,Guernsey,Other Tournaments
1905-04-27,Muratti Vase,Jersey,Guernsey,0,1,Guernsey,Other Tournaments
1905-04-30,Friendly,Belgium,Netherlands,1,4,Netherlands,Friendly/Invitationals
1905-05-07,Friendly,Belgium,France,7,0,Belgium,Friendly/Invitationals
1905-05-14,Friendly,Netherlands,Belgium,4,0,Netherlands,Friendly/Invitationals
1905-08-15,Copa Lipton,Argentina,Uruguay,0,0,Draw,Other Tournaments
1906-02-17,British Home Championship,Northern Ireland,England,0,5,England,Other Tournaments
1906-03-03,British Home Championship,Scotland,Wales,0,2,Wales,Other Tournaments
1906-03-17,British Home Championship,Northern Ireland,Scotland,0,1,Scotland,Other Tournaments
1906-03-19,British Home Championship,Wales,England,0,1,England,Other Tournaments
1906-03-29,Muratti Vase,Jersey,Guernsey,1,2,Guernsey,Other Tournaments
1906-04-01,Friendly,Hungary,Czechoslovakia,1,1,Draw,Friendly/Invitationals
1906-04-02,British Home Championship,Wales,Northern Ireland,4,4,Draw,Other Tournaments
1906-04-02,Muratti Vase,Guernsey,Alderney,1,0,Guernsey,Other Tournaments
1906-04-07,British Home Championship,Scotland,England,2,1,Scotland,Other Tournaments
1906-04-22,Friendly,France,Belgium,0,5,Belgium,Friendly/Invitationals
1906-04-29,Friendly,Belgium,Netherlands,5,0,Belgium,Friendly/Invitationals
1906-05-13,Friendly,Netherlands,Belgium,2,3,Belgium,Friendly/Invitationals
1906-08-15,Copa Lipton,Uruguay,Argentina,0,2,Argentina,Other Tournaments
1906-10-07,Friendly,Czechoslovakia,Hungary,4,4,Draw,Friendly/Invitationals
1906-10-21,Copa Newton,Argentina,Uruguay,2,1,Argentina,Other Tournaments
1906-11-04,Friendly,Hungary,Austria,3,1,Hungary,Friendly/Invitationals
1907-02-16,British Home Championship,England,Northern Ireland,1,0,England,Other Tournaments
1907-02-23,British Home Championship,Northern Ireland,Wales,2,3,Wales,Other Tournaments
1907-03-04,British Home Championship,Wales,Scotland,1,0,Wales,Other Tournaments
1907-03-16,British Home Championship,Scotland,Northern Ireland,3,0,Scotland,Other Tournaments
1907-03-18,British Home Championship,England,Wales,1,1,Draw,Other Tournaments
1907-03-21,Muratti Vase,Alderney,Jersey,1,2,Jersey,Other Tournaments
1907-04-04,Muratti Vase,Jersey,Guernsey,2,3,Guernsey,Other Tournaments
1907-04-06,British Home Championship,England,Scotland,1,1,Draw,Other Tournaments
1907-04-07,Friendly,Hungary,Czechoslovakia,5,2,Hungary,Friendly/Invitationals
1907-04-14,Friendly,Belgium,Netherlands,1,3,Netherlands,Friendly/Invitationals
1907-04-21,Friendly,Belgium,France,1,2,France,Friendly/Invitationals
1907-05-05,Friendly,Austria,Hungary,3,1,Austria,Friendly/Invitationals
1907-05-09,Friendly,Netherlands,Belgium,1,2,Belgium,Friendly/Invitationals
1907-10-06,Friendly,Czechoslovakia,Hungary,5,3,Czechoslovakia,Friendly/Invitationals
1907-11-03,Friendly,Hungary,Austria,4,1,Hungary,Friendly/Invitationals
1908-02-15,British Home Championship,Northern Ireland,England,1,3,England,Other Tournaments
1908-03-07,British Home Championship,Scotland,Wales,2,1,Scotland,Other Tournaments
1908-03-08,Friendly,Switzerland,France,1,2,France,Friendly/Invitationals
1908-03-14,British Home Championship,Northern Ireland,Scotland,0,5,Scotland,Other Tournaments
1908-03-16,British Home Championship,Wales,England,1,7,England,Other Tournaments
1908-03-29,Friendly,Belgium,Netherlands,1,4,Netherlands,Friendly/Invitationals
1908-04-02,Muratti Vase,Guernsey,Alderney,3,0,Guernsey,Other Tournaments
1908-04-04,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1908-04-05,Friendly,Hungary,Czechoslovakia,5,2,Hungary,Friendly/Invitationals
1908-04-05,Friendly,Switzerland,Germany,5,3,Switzerland,Friendly/Invitationals
1908-04-09,Muratti Vase,Guernsey,Jersey,0,4,Jersey,Other Tournaments
1908-04-11,British Home Championship,Wales,Northern Ireland,0,1,Northern Ireland,Other Tournaments
1908-04-12,Friendly,France,Belgium,1,2,Belgium,Friendly/Invitationals
1908-04-26,Friendly,Netherlands,Belgium,3,1,Netherlands,Friendly/Invitationals
1908-05-03,Friendly,Austria,Hungary,4,0,Austria,Friendly/Invitationals
1908-05-10,Friendly,Netherlands,France,4,1,Netherlands,Friendly/Invitationals
1908-06-06,Friendly,Austria,England,1,6,England,Friendly/Invitationals
1908-06-07,Friendly,Austria,Germany,3,2,Austria,Friendly/Invitationals
1908-06-08,Friendly,Austria,England,1,11,England,Friendly/Invitationals
1908-06-10,Friendly,Hungary,England,0,7,England,Friendly/Invitationals
1908-06-13,Friendly,Czechoslovakia,England,0,4,England,Friendly/Invitationals
1908-07-12,Friendly,Sweden,Norway,11,3,Sweden,Friendly/Invitationals
1908-08-15,Copa Lipton,Uruguay,Argentina,2,2,Draw,Other Tournaments
1908-09-13,Copa Newton,Argentina,Uruguay,2,1,Argentina,Other Tournaments
1908-10-04,Copa Premio Honor Argentino,Argentina,Uruguay,0,1,Uruguay,Other Tournaments
1908-10-25,Friendly,Netherlands,Sweden,5,3,Netherlands,Friendly/Invitationals
1908-10-26,Friendly,Belgium,Sweden,2,1,Belgium,Friendly/Invitationals
1908-11-01,Friendly,Hungary,Austria,5,3,Hungary,Friendly/Invitationals
1909-02-13,British Home Championship,England,Northern Ireland,4,0,England,Other Tournaments
1909-03-01,British Home Championship,Wales,Scotland,3,2,Wales,Other Tournaments
1909-03-15,British Home Championship,England,Wales,2,0,England,Other Tournaments
1909-03-15,British Home Championship,Scotland,Northern Ireland,5,0,Scotland,Other Tournaments
1909-03-18,Muratti Vase,Guernsey,Jersey,3,0,Guernsey,Other Tournaments
1909-03-20,British Home Championship,Northern Ireland,Wales,2,3,Wales,Other Tournaments
1909-03-21,Friendly,Belgium,Netherlands,1,4,Netherlands,Friendly/Invitationals
1909-03-25,Muratti Vase,Guernsey,Alderney,2,0,Guernsey,Other Tournaments
1909-04-03,British Home Championship,England,Scotland,2,0,England,Other Tournaments
1909-04-04,Friendly,Germany,Switzerland,1,0,Germany,Friendly/Invitationals
1909-04-04,Friendly,Hungary,Germany,3,3,Draw,Friendly/Invitationals
1909-04-25,Friendly,Netherlands,Belgium,4,1,Netherlands,Friendly/Invitationals
1909-05-02,Friendly,Austria,Hungary,3,4,Hungary,Friendly/Invitationals
1909-05-09,Friendly,Belgium,France,5,2,Belgium,Friendly/Invitationals
1909-05-29,Friendly,Hungary,England,2,4,England,Friendly/Invitationals
1909-05-30,Friendly,Hungary,Austria,1,1,Draw,Friendly/Invitationals
1909-05-31,Friendly,Hungary,England,2,8,England,Friendly/Invitationals
1909-06-01,Friendly,Austria,England,1,8,England,Friendly/Invitationals
1909-08-15,Copa Lipton,Argentina,Uruguay,2,1,Argentina,Other Tournaments
1909-09-19,Copa Newton,Uruguay,Argentina,2,2,Draw,Other Tournaments
1909-10-10,Copa Premio Honor Argentino,Argentina,Uruguay,3,1,Argentina,Other Tournaments
1909-11-07,Friendly,Hungary,Austria,2,2,Draw,Friendly/Invitationals
1910-02-12,British Home Championship,Northern Ireland,England,1,1,Draw,Other Tournaments
1910-03-05,British Home Championship,Scotland,Wales,1,0,Scotland,Other Tournaments
1910-03-13,Friendly,Belgium,Netherlands,3,2,Belgium,Friendly/Invitationals
1910-03-14,British Home Championship,Wales,England,0,1,England,Other Tournaments
1910-03-19,British Home Championship,Northern Ireland,Scotland,1,0,Northern Ireland,Other Tournaments
1910-04-02,British Home Championship,Scotland,England,2,0,Scotland,Other Tournaments
1910-04-03,Friendly,France,Belgium,0,4,Belgium,Friendly/Invitationals
1910-04-03,Friendly,Switzerland,Germany,2,3,Germany,Friendly/Invitationals
1910-04-07,Muratti Vase,Jersey,Alderney,7,1,Jersey,Other Tournaments
1910-04-10,Friendly,Netherlands,Belgium,7,0,Netherlands,Friendly/Invitationals
1910-04-11,British Home Championship,Wales,Northern Ireland,4,1,Wales,Other Tournaments
1910-04-21,Muratti Vase,Guernsey,Jersey,2,3,Jersey,Other Tournaments
1910-04-24,Friendly,Netherlands,Germany,4,2,Netherlands,Friendly/Invitationals
1910-05-01,Friendly,Austria,Hungary,2,1,Austria,Friendly/Invitationals
1910-05-15,Friendly,Italy,France,6,2,Italy,Friendly/Invitationals
1910-05-16,Friendly,Germany,Belgium,0,3,Belgium,Friendly/Invitationals
1910-05-26,Friendly,Hungary,Italy,6,1,Hungary,Friendly/Invitationals
1910-05-27,Friendly,Argentina,Chile,3,1,Argentina,Friendly/Invitationals
1910-05-29,Friendly,Chile,Uruguay,0,3,Uruguay,Friendly/Invitationals
1910-06-05,Friendly,Argentina,Chile,5,1,Argentina,Friendly/Invitationals
1910-06-12,Friendly,Argentina,Uruguay,4,1,Argentina,Friendly/Invitationals
1910-08-15,Copa Lipton,Uruguay,Argentina,3,1,Uruguay,Other Tournaments
1910-09-11,Friendly,Chile,Argentina,0,3,Argentina,Friendly/Invitationals
1910-09-11,Friendly,Norway,Sweden,0,4,Sweden,Friendly/Invitationals
1910-10-16,Friendly,Germany,Netherlands,1,2,Netherlands,Friendly/Invitationals
1910-11-06,Friendly,Hungary,Austria,3,0,Hungary,Friendly/Invitationals
1910-11-13,Copa Premio Honor Argentino,Argentina,Uruguay,1,1,Draw,Other Tournaments
1910-11-27,Copa Premio Honor Argentino,Argentina,Uruguay,2,6,Uruguay,Other Tournaments
1911-01-01,Friendly,France,Hungary,0,3,Hungary,Friendly/Invitationals
1911-01-06,Friendly,Italy,Hungary,0,1,Hungary,Friendly/Invitationals
1911-01-08,Friendly,Switzerland,Hungary,2,0,Switzerland,Friendly/Invitationals
1911-01-28,British Home Championship,Northern Ireland,Wales,1,2,Wales,Other Tournaments
1911-02-11,British Home Championship,England,Northern Ireland,2,1,England,Other Tournaments
1911-03-06,British Home Championship,Wales,Scotland,2,2,Draw,Other Tournaments
1911-03-13,British Home Championship,England,Wales,3,0,England,Other Tournaments
1911-03-18,British Home Championship,Scotland,Northern Ireland,2,0,Scotland,Other Tournaments
1911-03-19,Friendly,Belgium,Netherlands,1,5,Netherlands,Friendly/Invitationals
1911-03-26,Friendly,Germany,Switzerland,6,2,Germany,Friendly/Invitationals
1911-04-01,British Home Championship,England,Scotland,1,1,Draw,Other Tournaments
1911-04-02,Friendly,Netherlands,Belgium,3,1,Netherlands,Friendly/Invitationals
1911-04-09,Friendly,France,Italy,2,2,Draw,Friendly/Invitationals
1911-04-20,Muratti Vase,Guernsey,Alderney,2,1,Guernsey,Other Tournaments
1911-04-23,Friendly,Belgium,Germany,2,1,Belgium,Friendly/Invitationals
1911-04-23,Friendly,Switzerland,France,5,2,Switzerland,Friendly/Invitationals
1911-04-27,Muratti Vase,Jersey,Guernsey,4,1,Jersey,Other Tournaments
1911-04-30,Friendly,Belgium,France,7,1,Belgium,Friendly/Invitationals
1911-05-07,Friendly,Austria,Hungary,3,1,Austria,Friendly/Invitationals
1911-05-07,Friendly,Italy,Switzerland,2,2,Draw,Friendly/Invitationals
1911-05-21,Friendly,Switzerland,Italy,3,0,Switzerland,Friendly/Invitationals
1911-06-18,Friendly,Sweden,Germany,2,4,Germany,Friendly/Invitationals
1911-08-15,Copa Lipton,Argentina,Uruguay,0,2,Uruguay,Other Tournaments
1911-09-17,Friendly,Sweden,Norway,4,1,Sweden,Friendly/Invitationals
1911-09-17,Copa Newton,Uruguay,Argentina,2,3,Argentina,Other Tournaments
1911-10-08,Copa Premio Honor Uruguayo,Uruguay,Argentina,1,1,Draw,Other Tournaments
1911-10-09,Friendly,Germany,Austria,1,2,Austria,Friendly/Invitationals
1911-10-22,Copa Premio Honor Argentino,Argentina,Uruguay,2,0,Argentina,Other Tournaments
1911-10-22,Friendly,Finland,Sweden,2,5,Sweden,Friendly/Invitationals
1911-10-29,Friendly,Germany,Sweden,1,3,Sweden,Friendly/Invitationals
1911-10-29,Friendly,Hungary,Switzerland,9,0,Hungary,Friendly/Invitationals
1911-10-29,Friendly,Luxembourg,France,1,4,France,Friendly/Invitationals
1911-10-29,Copa Premio Honor Uruguayo,Uruguay,Argentina,3,0,Uruguay,Other Tournaments
1911-11-05,Friendly,Hungary,Austria,2,0,Hungary,Friendly/Invitationals
1911-12-17,Friendly,Germany,Hungary,1,4,Hungary,Friendly/Invitationals
1912-01-28,Friendly,France,Belgium,1,1,Draw,Friendly/Invitationals
1912-02-10,British Home Championship,Northern Ireland,England,1,6,England,Other Tournaments
1912-02-10,Friendly,France,Catalonia,7,0,France,Friendly/Invitationals
1912-02-18,Friendly,France,Switzerland,4,1,France,Friendly/Invitationals
1912-02-20,Friendly,Belgium,Switzerland,9,2,Belgium,Friendly/Invitationals
1912-03-02,British Home Championship,Scotland,Wales,1,0,Scotland,Other Tournaments
1912-03-10,Friendly,Belgium,Netherlands,1,2,Netherlands,Friendly/Invitationals
1912-03-11,British Home Championship,Wales,England,0,2,England,Other Tournaments
1912-03-16,British Home Championship,Northern Ireland,Scotland,1,4,Scotland,Other Tournaments
1912-03-17,Friendly,Italy,France,3,4,France,Friendly/Invitationals
1912-03-23,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1912-03-24,Friendly,Netherlands,Germany,5,5,Draw,Friendly/Invitationals
1912-04-13,British Home Championship,Wales,Northern Ireland,2,3,Northern Ireland,Other Tournaments
1912-04-14,Friendly,Hungary,Germany,4,4,Draw,Friendly/Invitationals
1912-04-18,Muratti Vase,Jersey,Guernsey,3,3,Draw,Other Tournaments
1912-04-19,Muratti Vase,Jersey,Guernsey,2,5,Guernsey,Other Tournaments
1912-04-25,Muratti Vase,Guernsey,Alderney,4,0,Guernsey,Other Tournaments
1912-04-28,Friendly,Netherlands,Belgium,4,3,Netherlands,Friendly/Invitationals
1912-05-05,Friendly,Austria,Hungary,1,1,Draw,Friendly/Invitationals
1912-05-05,Friendly,Switzerland,Germany,1,2,Germany,Friendly/Invitationals
1912-06-16,Friendly,Norway,Sweden,1,2,Sweden,Friendly/Invitationals
1912-06-20,Friendly,Sweden,Hungary,2,2,Draw,Friendly/Invitationals
