date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
2001-06-02,FIFA World Cup qualification,Belgium,Latvia,3,1,Belgium,Other Tournaments
2001-06-02,Confederations Cup,Canada,Brazil,0,0,Draw,International Major Tournaments
2001-06-02,FIFA World Cup qualification,Croatia,San Marino,4,0,Croatia,Other Tournaments
2001-06-02,FIFA World Cup qualification,Denmark,Czech Republic,2,1,Denmark,Other Tournaments
2001-06-02,FIFA World Cup qualification,Estonia,Netherlands,2,4,Netherlands,Other Tournaments
2001-06-02,FIFA World Cup qualification,Faroe Islands,Switzerland,0,1,Switzerland,Other Tournaments
2001-06-02,FIFA World Cup qualification,Finland,Germany,2,2,Draw,Other Tournaments
2001-06-02,African Cup of Nations qualification,Gabon,Tunisia,1,1,Draw,Other Tournaments
2001-06-02,FIFA World Cup qualification,Georgia,Italy,1,2,Italy,Other Tournaments
2001-06-02,FIFA World Cup qualification,Greece,Albania,1,0,Greece,Other Tournaments
2001-06-02,FIFA World Cup qualification,Iceland,Malta,3,0,Iceland,Other Tournaments
2001-06-02,FIFA World Cup qualification,Republic of Ireland,Portugal,1,1,Draw,Other Tournaments
2001-06-02,Confederations Cup,Japan,Cameroon,2,0,Japan,International Major Tournaments
2001-06-02,African Cup of Nations qualification,Kenya,Morocco,1,1,Draw,Other Tournaments
2001-06-02,FIFA World Cup qualification,Liechtenstein,Israel,0,3,Israel,Other Tournaments
2001-06-02,FIFA World Cup qualification,North Macedonia,Moldova,2,2,Draw,Other Tournaments
2001-06-02,African Cup of Nations qualification,Nigeria,Madagascar,1,0,Nigeria,Other Tournaments
2001-06-02,FIFA World Cup qualification,Northern Ireland,Bulgaria,0,1,Bulgaria,Other Tournaments
2001-06-02,FIFA World Cup qualification,Paraguay,Chile,1,0,Paraguay,Other Tournaments
2001-06-02,FIFA World Cup qualification,Peru,Ecuador,1,2,Ecuador,Other Tournaments
2001-06-02,FIFA World Cup qualification,Romania,Hungary,2,0,Romania,Other Tournaments
2001-06-02,FIFA World Cup qualification,Russia,Serbia,1,1,Draw,Other Tournaments
2001-06-02,FIFA World Cup qualification,Slovenia,Luxembourg,2,0,Slovenia,Other Tournaments
2001-06-02,FIFA World Cup qualification,Spain,Bosnia and Herzegovina,4,1,Spain,Other Tournaments
2001-06-02,FIFA World Cup qualification,Sweden,Slovakia,2,0,Sweden,Other Tournaments
2001-06-02,FIFA World Cup qualification,Turkey,Azerbaijan,3,0,Turkey,Other Tournaments
2001-06-02,African Cup of Nations qualification,Uganda,Togo,0,3,Togo,Other Tournaments
2001-06-02,FIFA World Cup qualification,Ukraine,Norway,0,0,Draw,Other Tournaments
2001-06-02,FIFA World Cup qualification,Wales,Poland,1,2,Poland,Other Tournaments
2001-06-02,African Cup of Nations qualification,Zambia,Namibia,0,0,Draw,Other Tournaments
2001-06-03,FIFA World Cup qualification,Argentina,Colombia,3,0,Argentina,Other Tournaments
2001-06-03,FIFA World Cup qualification,Bolivia,Venezuela,5,0,Bolivia,Other Tournaments
2001-06-03,African Cup of Nations qualification,Burundi,Burkina Faso,0,0,Draw,Other Tournaments
2001-06-03,African Cup of Nations qualification,Congo,Mauritius,0,0,Draw,Other Tournaments
2001-06-03,African Cup of Nations qualification,Egypt,Sudan,3,2,Egypt,Other Tournaments
2001-06-03,UNCAF Cup,Costa Rica,El Salvador,1,1,Draw,Other Tournaments
2001-06-03,Confederations Cup,France,Mexico,4,0,France,International Major Tournaments
2001-06-03,Friendly,Gambia,Senegal,0,0,Draw,Friendly/Invitationals
2001-06-03,UNCAF Cup,Guatemala,Panama,3,1,Guatemala,Other Tournaments
2001-06-03,Confederations Cup,South Korea,Australia,1,0,South Korea,International Major Tournaments
2001-06-03,African Cup of Nations qualification,Lesotho,DR Congo,0,0,Draw,Other Tournaments
2001-06-03,African Cup of Nations qualification,Liberia,South Africa,1,1,Draw,Other Tournaments
2001-06-03,African Cup of Nations qualification,Libya,Ivory Coast,0,3,Ivory Coast,Other Tournaments
2001-06-03,African Cup of Nations qualification,Zimbabwe,Ghana,1,2,Ghana,Other Tournaments
2001-06-04,Confederations Cup,Cameroon,Canada,2,0,Cameroon,International Major Tournaments
2001-06-04,Confederations Cup,Japan,Brazil,0,0,Draw,International Major Tournaments
2001-06-04,FIFA World Cup qualification,Solomon Islands,Cook Islands,9,1,Solomon Islands,Other Tournaments
2001-06-04,FIFA World Cup qualification,Vanuatu,Tahiti,1,6,Tahiti,Other Tournaments
2001-06-06,FIFA World Cup qualification,Albania,Germany,0,2,Germany,Other Tournaments
2001-06-06,FIFA World Cup qualification,Armenia,Poland,1,1,Draw,Other Tournaments
2001-06-06,FIFA World Cup qualification,Azerbaijan,Slovakia,2,0,Azerbaijan,Other Tournaments
2001-06-06,FIFA World Cup qualification,Cook Islands,Vanuatu,1,8,Vanuatu,Other Tournaments
2001-06-06,FIFA World Cup qualification,Czech Republic,Northern Ireland,3,1,Czech Republic,Other Tournaments
2001-06-06,FIFA World Cup qualification,Denmark,Malta,2,1,Denmark,Other Tournaments
2001-06-06,FIFA World Cup qualification,Estonia,Republic of Ireland,0,2,Republic of Ireland,Other Tournaments
2001-06-06,FIFA World Cup qualification,Faroe Islands,Serbia,0,6,Serbia,Other Tournaments
2001-06-06,FIFA World Cup qualification,Greece,England,0,2,England,Other Tournaments
2001-06-06,FIFA World Cup qualification,Hungary,Georgia,4,1,Hungary,Other Tournaments
2001-06-06,FIFA World Cup qualification,Iceland,Bulgaria,1,1,Draw,Other Tournaments
2001-06-06,FIFA World Cup qualification,Israel,Spain,1,1,Draw,Other Tournaments
2001-06-06,FIFA World Cup qualification,Latvia,Croatia,0,1,Croatia,Other Tournaments
2001-06-06,FIFA World Cup qualification,Lithuania,Romania,1,2,Romania,Other Tournaments
2001-06-06,FIFA World Cup qualification,Luxembourg,Russia,1,2,Russia,Other Tournaments
2001-06-06,FIFA World Cup qualification,New Zealand,Tahiti,5,0,New Zealand,Other Tournaments
2001-06-06,FIFA World Cup qualification,Norway,Belarus,1,1,Draw,Other Tournaments
2001-06-06,FIFA World Cup qualification,Portugal,Cyprus,6,0,Portugal,Other Tournaments
2001-06-06,FIFA World Cup qualification,San Marino,Belgium,1,4,Belgium,Other Tournaments
2001-06-06,FIFA World Cup qualification,Sweden,Moldova,6,0,Sweden,Other Tournaments
2001-06-06,FIFA World Cup qualification,Switzerland,Slovenia,0,1,Slovenia,Other Tournaments
2001-06-06,FIFA World Cup qualification,Turkey,North Macedonia,3,3,Draw,Other Tournaments
